,ele_1,ele_2,EMD,mend_1,mend_2,mend_diff
2102,Pb,Na,0.696078431372549,"(82.0, 'Pb')","(11.0, 'Na')",71.0
2103,Na,Bi,0.7941176470588235,"(11.0, 'Na')","(87.0, 'Bi')",76.0
2104,Bi,Na,0.7941176470588235,"(87.0, 'Bi')","(11.0, 'Na')",76.0
2105,Na,Po,0.803921568627451,"(11.0, 'Na')","(91.0, 'Po')",80.0
2106,Po,Na,0.803921568627451,"(91.0, 'Po')","(11.0, 'Na')",80.0
2107,Na,At,0.8529411764705882,"(11.0, 'Na')","(96.0, 'At')",85.0
2108,At,Na,0.8529411764705882,"(96.0, 'At')","(11.0, 'Na')",85.0
2109,Na,Rn,0.049019607843137254,"(11.0, 'Na')","(6.0, 'Rn')",5.0
2110,Rn,Na,0.049019607843137254,"(6.0, 'Rn')","(11.0, 'Na')",5.0
2111,Na,Fr,0.0392156862745098,"(11.0, 'Na')","(7.0, 'Fr')",4.0
2112,Fr,Na,0.0392156862745098,"(7.0, 'Fr')","(11.0, 'Na')",4.0
2113,Na,Ra,0.0196078431372549,"(11.0, 'Na')","(13.0, 'Ra')",2.0
2114,Ra,Na,0.0196078431372549,"(13.0, 'Ra')","(11.0, 'Na')",2.0
2115,Na,Ac,0.21568627450980393,"(11.0, 'Na')","(48.0, 'Ac')",37.0
2116,Ac,Na,0.21568627450980393,"(48.0, 'Ac')","(11.0, 'Na')",37.0
2117,Na,Th,0.22549019607843138,"(11.0, 'Na')","(47.0, 'Th')",36.0
2118,Th,Na,0.22549019607843138,"(47.0, 'Th')","(11.0, 'Na')",36.0
2119,Na,Pa,0.23529411764705882,"(11.0, 'Na')","(46.0, 'Pa')",35.0
2120,Pa,Na,0.23529411764705882,"(46.0, 'Pa')","(11.0, 'Na')",35.0
2121,Na,U,0.24509803921568626,"(11.0, 'Na')","(45.0, 'U')",34.0
2122,U,Na,0.24509803921568626,"(45.0, 'U')","(11.0, 'Na')",34.0
2123,Na,Np,0.2549019607843137,"(11.0, 'Na')","(44.0, 'Np')",33.0
2124,Np,Na,0.2549019607843137,"(44.0, 'Np')","(11.0, 'Na')",33.0
2125,Na,Pu,0.2647058823529412,"(11.0, 'Na')","(43.0, 'Pu')",32.0
2126,Pu,Na,0.2647058823529412,"(43.0, 'Pu')","(11.0, 'Na')",32.0
2127,Na,Am,0.27450980392156865,"(11.0, 'Na')","(42.0, 'Am')",31.0
2128,Am,Na,0.27450980392156865,"(42.0, 'Am')","(11.0, 'Na')",31.0
2129,Na,Cm,0.28431372549019607,"(11.0, 'Na')","(41.0, 'Cm')",30.0
2130,Cm,Na,0.28431372549019607,"(41.0, 'Cm')","(11.0, 'Na')",30.0
2131,Na,Bk,0.29411764705882354,"(11.0, 'Na')","(40.0, 'Bk')",29.0
2132,Bk,Na,0.29411764705882354,"(40.0, 'Bk')","(11.0, 'Na')",29.0
2133,Na,Cf,0.30392156862745096,"(11.0, 'Na')","(39.0, 'Cf')",28.0
2134,Cf,Na,0.30392156862745096,"(39.0, 'Cf')","(11.0, 'Na')",28.0
2135,Na,Es,0.3137254901960784,"(11.0, 'Na')","(38.0, 'Es')",27.0
2136,Es,Na,0.3137254901960784,"(38.0, 'Es')","(11.0, 'Na')",27.0
2137,Na,Fm,0.3235294117647059,"(11.0, 'Na')","(37.0, 'Fm')",26.0
2138,Fm,Na,0.3235294117647059,"(37.0, 'Fm')","(11.0, 'Na')",26.0
2139,Na,Md,0.3333333333333333,"(11.0, 'Na')","(36.0, 'Md')",25.0
2140,Md,Na,0.3333333333333333,"(36.0, 'Md')","(11.0, 'Na')",25.0
2141,Na,No,0.3431372549019608,"(11.0, 'Na')","(35.0, 'No')",24.0
2142,No,Na,0.3431372549019608,"(35.0, 'No')","(11.0, 'Na')",24.0
2143,Na,Lr,0.35294117647058826,"(11.0, 'Na')","(34.0, 'Lr')",23.0
2144,Lr,Na,0.35294117647058826,"(34.0, 'Lr')","(11.0, 'Na')",23.0
2145,Mg,Mg,0.0,"(73.0, 'Mg')","(73.0, 'Mg')",0.0
2146,Mg,Al,0.049019607843137254,"(73.0, 'Mg')","(80.0, 'Al')",7.0
2147,Al,Mg,0.049019607843137254,"(80.0, 'Al')","(73.0, 'Mg')",7.0
2148,Mg,Si,0.11764705882352941,"(73.0, 'Mg')","(85.0, 'Si')",12.0
2149,Si,Mg,0.11764705882352941,"(85.0, 'Si')","(73.0, 'Mg')",12.0
2150,Mg,P,0.1568627450980392,"(73.0, 'Mg')","(90.0, 'P')",17.0
2151,P,Mg,0.1568627450980392,"(90.0, 'P')","(73.0, 'Mg')",17.0
2152,Mg,S,0.22549019607843138,"(73.0, 'Mg')","(94.0, 'S')",21.0
