,ele_1,ele_2,mend_1,mend_2,euclid_dist,reciprocal_euclid_dist,pearson_corr,mend_diff
5014,Ru,As,"(62.0, 'Ru')","(89.0, 'As')",1.587413556248944,0.6299555626594235,0.15306110366607045,27.0
5015,As,Rh,"(89.0, 'As')","(65.0, 'Rh')",1.025548921252915,0.9750875645974043,0.5635759261748432,24.0
5016,Rh,As,"(65.0, 'Rh')","(89.0, 'As')",1.025548921252915,0.9750875645974043,0.5635759261748432,24.0
5017,As,Pd,"(89.0, 'As')","(69.0, 'Pd')",1.226021779362949,0.8156461955509535,0.3456819172836881,20.0
5018,Pd,As,"(69.0, 'Pd')","(89.0, 'As')",1.226021779362949,0.8156461955509535,0.3456819172836881,20.0
5019,As,Ag,"(89.0, 'As')","(71.0, 'Ag')",1.9608770442388552,0.5099758819340788,-0.15295854596314817,18.0
5020,Ag,As,"(71.0, 'Ag')","(89.0, 'As')",1.9608770442388552,0.5099758819340788,-0.15295854596314817,18.0
5021,As,Cd,"(89.0, 'As')","(75.0, 'Cd')",1.3821210482505575,0.7235256284286868,-0.17930645249742516,14.0
5022,Cd,As,"(75.0, 'Cd')","(89.0, 'As')",1.3821210482505575,0.7235256284286868,-0.17930645249742516,14.0
5023,As,In,"(89.0, 'As')","(79.0, 'In')",1.340355014421435,0.7460709955501235,-0.5952973334425649,10.0
5024,In,As,"(79.0, 'In')","(89.0, 'As')",1.340355014421435,0.7460709955501235,-0.5952973334425649,10.0
5025,As,Sn,"(89.0, 'As')","(83.0, 'Sn')",1.10678292174445,0.9035195433119398,-0.250117097908415,6.0
5026,Sn,As,"(83.0, 'Sn')","(89.0, 'As')",1.10678292174445,0.9035195433119398,-0.250117097908415,6.0
5027,As,Sb,"(89.0, 'As')","(88.0, 'Sb')",0.6700712726424686,1.4923785585620415,0.41645357122413384,1.0
5028,Sb,As,"(88.0, 'Sb')","(89.0, 'As')",0.6700712726424686,1.4923785585620415,0.41645357122413384,1.0
5029,As,Te,"(89.0, 'As')","(92.0, 'Te')",0.9016819819419946,1.109038463701197,0.12920910497942126,3.0
5030,Te,As,"(92.0, 'Te')","(89.0, 'As')",0.9016819819419946,1.109038463701197,0.12920910497942126,3.0
5031,As,I,"(89.0, 'As')","(97.0, 'I')",0.6808684860222038,1.4687124173454387,0.4459981035762981,8.0
5032,I,As,"(97.0, 'I')","(89.0, 'As')",0.6808684860222038,1.4687124173454387,0.4459981035762981,8.0
5033,As,Xe,"(89.0, 'As')","(5.0, 'Xe')",2.722486836727844,0.3673112341662962,-0.0207356931202676,84.0
5034,Xe,As,"(5.0, 'Xe')","(89.0, 'As')",2.722486836727844,0.3673112341662962,-0.0207356931202676,84.0
5035,As,Cs,"(89.0, 'As')","(8.0, 'Cs')",0.967380694497756,1.033719202468868,0.4090934554991371,81.0
5036,Cs,As,"(8.0, 'Cs')","(89.0, 'As')",0.967380694497756,1.033719202468868,0.4090934554991371,81.0
5037,As,Ba,"(89.0, 'As')","(14.0, 'Ba')",1.5134252519356184,0.6607528179677422,-0.1502277517608133,75.0
5038,Ba,As,"(14.0, 'Ba')","(89.0, 'As')",1.5134252519356184,0.6607528179677422,-0.1502277517608133,75.0
5039,As,La,"(89.0, 'As')","(33.0, 'La')",1.6776123778917826,0.5960852537680231,-0.3120452580927915,56.0
5040,La,As,"(33.0, 'La')","(89.0, 'As')",1.6776123778917826,0.5960852537680231,-0.3120452580927915,56.0
5041,As,Ce,"(89.0, 'As')","(32.0, 'Ce')",1.4994240935559344,0.6669227233960651,-0.3399194946835711,57.0
5042,Ce,As,"(32.0, 'Ce')","(89.0, 'As')",1.4994240935559344,0.6669227233960651,-0.3399194946835711,57.0
5043,As,Pr,"(89.0, 'As')","(31.0, 'Pr')",1.745782251982537,0.572809122594977,-0.5341776373644737,58.0
5044,Pr,As,"(31.0, 'Pr')","(89.0, 'As')",1.745782251982537,0.572809122594977,-0.5341776373644737,58.0
5045,As,Nd,"(89.0, 'As')","(30.0, 'Nd')",1.7468420490647973,0.5724616032315959,-0.5503501941510346,59.0
5046,Nd,As,"(30.0, 'Nd')","(89.0, 'As')",1.7468420490647973,0.5724616032315959,-0.5503501941510346,59.0
5047,As,Pm,"(89.0, 'As')","(29.0, 'Pm')",1.7031579725974553,0.5871445961497735,-0.5995437117218821,60.0
5048,Pm,As,"(29.0, 'Pm')","(89.0, 'As')",1.7031579725974553,0.5871445961497735,-0.5995437117218821,60.0
5049,As,Sm,"(89.0, 'As')","(28.0, 'Sm')",1.7155359718035745,0.5829082085342003,-0.5796335176300595,61.0
5050,Sm,As,"(28.0, 'Sm')","(89.0, 'As')",1.7155359718035745,0.5829082085342003,-0.5796335176300595,61.0
5051,As,Eu,"(89.0, 'As')","(18.0, 'Eu')",1.368933232481355,0.7304958169416199,-0.047863701293092975,71.0
5052,Eu,As,"(18.0, 'Eu')","(89.0, 'As')",1.368933232481355,0.7304958169416199,-0.047863701293092975,71.0
5053,As,Gd,"(89.0, 'As')","(27.0, 'Gd')",1.5760729897804244,0.6344883812388145,-0.4976767718459972,62.0
