,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,cat_oxi_state,an_oxi_state,coordination,coordination_num,coordination_env
628,mp-23722,HCl,Fm-3m,cubic,1.2803807675,23.249339615670543,2.6041520437057972,0.0,-3.69793149,1.0,-1.0,"[0, '6-coordinate']",0.0,6-coordinate
629,mp-632296,HF,Cmc2_1,orthorhombic,0.0,38.59484955081889,1.7215413377717068,6.7187,-16.46471095,1.0,-1.0,"[1, 'single-bond']",1.0,single-bond
630,mp-697025,HI,C2/c,monoclinic,0.0,589.6668887589369,2.88167516890764,4.084899999999999,-39.13163163,1.0,-1.0,"[1, 'single-bond']",1.0,single-bond
631,mp-23922,HN,Pmna,orthorhombic,0.03343642472749764,298.41038903541926,1.336811167816317,4.1834999999999996,-189.59201873,1.0,-1.0,"[1.5, 'single-bond']",1.5,single-bond
632,mp-720515,HN,P2_1/c,monoclinic,0.14013477378999806,365.5705611563187,1.3640264802544577,4.371099999999999,-232.72208945,1.0,-1.0,"[1.6, 'single-bond']",1.6,single-bond
633,mp-24289,HPd,Fm-3m,cubic,0.020144622500000153,17.74254559448299,10.054267030872406,0.0,-8.69843495,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
634,mp-24722,HRh,Fm-3m,cubic,0.0,16.716986883548664,10.321975357569094,0.0,-10.6391017,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
635,mp-1007761,HW,P6_3/mmc,hexagonal,0.08127816068999927,35.88801035920123,17.105836889719654,0.0,-32.07061362,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
636,mp-13156,HfAg,P4/nmm,tetragonal,0.0,79.01985142026346,12.03517773305554,0.0,-26.03994321,0.0,0.0,"[4, '4-coordinate']",4.0,4-coordinate
637,mp-249,HfAl,Cmcm,orthorhombic,0.013856977249998792,76.13141176693006,8.963278336785484,0.0,-28.9824583,0.0,0.0,"[8, '7-coordinate']",8.0,7-coordinate
638,mp-9954,HfAs,P6_3/mmc,hexagonal,0.0,160.19203871645584,10.507385138519636,0.0,-66.44556859,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
639,mp-1007755,HfAu,P4/nmm,tetragonal,0.0,78.61259438851921,15.861588222234026,0.0,-28.63202701,0.0,0.0,"[8, '4-coordinate']",8.0,4-coordinate
640,mp-345,HfB,Fm-3m,cubic,0.3499089324999982,28.30637643301577,11.104978646429897,0.0,-17.46357609,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
641,mp-1018057,HfBe,Cmcm,orthorhombic,0.05906648950000015,62.609219638088184,9.945969621839252,0.0,-27.70741369,0.0,0.0,"[8, '7-coordinate']",8.0,7-coordinate
642,mp-21075,HfC,Fm-3m,cubic,0.0,25.157438793751798,12.57416771071356,0.0,-21.06360252,4.0,-4.0,"[6, 'octahedral']",6.0,octahedral
643,mp-1002124,HfC,F-43m,cubic,0.6414215250000002,32.05576538618289,9.868235893097628,0.5773999999999999,-19.78075947,4.0,-4.0,"[4, 'tetrahedral']",4.0,tetrahedral
644,mp-1008832,HfC,P-6m2,hexagonal,0.7634322749999995,26.36322430068467,11.99905789051877,0.0,-19.53673797,4.0,-4.0,"[6, 'pentagonal pyramidal']",6.0,pentagonal pyramidal
645,mp-1001918,HfC,Pm-3m,cubic,1.3390728999999997,24.294560120634756,13.020768970250511,0.0,-18.38545672,4.0,-4.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
646,mp-1007758,HfCd,P4/nmm,tetragonal,0.0,87.42550342153176,11.050607799966917,0.0,-22.03762019,0.0,0.0,"[12, 'cuboctahedral']",12.0,cuboctahedral
647,mp-2027,HfCo,Pm-3m,cubic,0.0,31.25819692249428,12.61270736735221,0.0,-17.85908943,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
648,mp-1064981,HfCo,Cmcm,orthorhombic,0.000651215000001315,63.396119085808664,12.437685344140995,0.0,-35.715574,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
649,mp-510188,HfGa,Pbcm,orthorhombic,0.0,447.323061657314,11.05690500671051,0.0,-167.98427192,0.0,0.0,"[8.333333333333334, '6-coordinate']",8.333333333333334,6-coordinate
650,mp-1007786,HfIr,P2_1/m,monoclinic,0.0,72.26040876260622,17.03764111781878,0.0,-41.3831819,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
651,mp-1018055,HfIr,Pmma,orthorhombic,0.019127574999998842,70.81642336921652,17.385047887907657,0.0,-41.3066716,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
652,mp-1002122,HfIr,Pm-3m,cubic,0.04242479499999874,35.447911566664395,17.3655775067149,0.0,-20.60674136,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
653,mp-1191460,HfMn,Fd-3m,cubic,0.00306420125000173,393.0054789780896,11.83544989664145,0.0,-233.94281442,0.0,0.0,"[13, '14-coordinate']",13.0,14-coordinate
654,mp-2828,HfN,Fm-3m,cubic,0.0,23.359277613132278,13.68399724663909,0.0,-21.78692844,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
655,mp-1001916,HfN,F-43m,cubic,0.2713162400000009,29.586256353994045,10.803945139832765,0.0,-21.24429596,0.0,0.0,"[4, 'tetrahedral']",4.0,tetrahedral
656,mp-1001834,HfN,Pm-3m,cubic,0.9899383749999995,22.3346617216587,14.311758759775891,0.0,-19.80705169,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
657,mp-1018056,HfNi,Cmcm,orthorhombic,0.0,64.65103173576162,12.18394482113595,0.0,-33.54296025,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
658,mp-11452,HfOs,Pm-3m,cubic,0.0,34.60884581007933,17.691256391406036,0.0,-22.58325693,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
659,mp-9953,HfP,P6_3/mmc,hexagonal,0.0,144.66888283433607,9.61707184084099,0.0,-71.8308797,0.0,0.0,"[6, 'octahedral']",6.0,octahedral
660,mp-1007692,HfPd,Cmcm,orthorhombic,0.0,74.9182382501923,12.629880160423863,0.0,-33.02897567,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
661,mp-1002106,HfPd,Pm-3m,cubic,0.060316682499999885,36.85173581663342,12.838043445743617,0.0,-16.39385447,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
662,mp-1007691,HfPt,Cmcm,orthorhombic,0.0,75.71437969569514,16.38616663728141,0.0,-36.64347779,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
663,mp-11455,HfPt,Pm-3m,cubic,0.1710127324999995,36.91865228493622,16.80273203036561,0.0,-17.97971343,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
664,mp-11457,HfRh,Pm-3m,cubic,0.0,35.19210359620966,13.277643936174565,0.0,-19.0382795,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
665,mp-2802,HfRu,Pm-3m,cubic,0.0,34.145170489394275,13.595489341688483,0.0,-20.8539019,0.0,0.0,"[8, 'body-centered cubic']",8.0,body-centered cubic
666,mp-1079914,HfSb,P2_13,cubic,0.0,178.688143391921,11.160826796506793,0.0,-60.6873114,0.0,0.0,"[7, '7-coordinate']",7.0,7-coordinate
