Pretty Formula,M,X
TbSi,Si3-,Tb3+
TbSi,Si2-,Tb2+
TbSi,Si1-,Tb1+
DySi,Si4-,Dy4+
DySi,Si3-,Dy3+
DySi,Si2-,Dy2+
HoSi,Si3-,Ho3+
HoSi,Si2-,Ho2+
ErSi,Si3-,Er3+
ErSi,Si2-,Er2+
TmSi,Si3-,Tm3+
TmSi,Si2-,Tm2+
YbSi,Si3-,Yb3+
YbSi,Si2-,Yb2+
LuSi,Si3-,Lu3+
HfSi,Si4-,Hf4+
HfSi,Si3-,Hf3+
HfSi,Si2-,Hf2+
TaSi,Si4-,Ta4+
TaSi,Si3-,Ta3+
TaSi,Si2-,Ta2+
SiW,Si4-,W4+
SiW,Si3-,W3+
SiW,Si2-,W2+
SiW,Si1-,W1+
SiOs,Si1+,Os1-
SiOs,Si2+,Os2-
SiIr,Si1+,Ir1-
SiIr,Si3+,Ir3-
SiPt,Si1+,Pt1-
SiPt,Si2+,Pt2-
SiAu,Si1+,Au1-
TlSi,Si3-,Tl3+
TlSi,Si1-,Tl1+
SiPb,Si4-,Pb4+
SiPb,Si2-,Pb2+
PH,P1+,H1-
LiP,P1-,Li1+
BeP,P2-,Be2+
BeP,P1-,Be1+
BP,P3-,B3+
BP,P2-,B2+
BP,P1-,B1+
PC,P1+,C1-
PC,P2+,C2-
PC,P3+,C3-
PC,P4+,C4-
PN,P1+,N1-
PN,P2+,N2-
PN,P3+,N3-
PO,P1+,O1-
PO,P2+,O2-
PF,P1+,F1-
NaP,P1-,Na1+
